raw_api_name,canonical_name,file_name,status,notes,selected_for_run,run_phase,stage,test_file_exists,final_status,pytest_outcome,failure_category,root_cause_summary,tests_total,passed_count,skipped_count,xfailed_count,failed_count,error_count,fix_recommendation,auto_fixable,fix_applied,fix_target,rerun_status,changed_files,fix_artifact,report_path,last_updated_utc
torch.utils.swap_tensors,torch.utils.swap_tensors,test_utils_swap_tensors.py,fixed,,yes,final,final,yes,fixed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,adjust_test,yes,yes,test/api_test,pytest_passed,"[""test/api_test/test_utils_swap_tensors.py""]",runs/20260323T041305Z/fixes/test_utils_swap_tensors.md,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.nn.Parameter.grad,torch.nn.Parameter.grad,test_nn_Parameter_grad.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.nn.Parameter.device,torch.nn.Parameter.device,test_nn_Parameter_device.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.nn.Parameter.device.type,torch.nn.Parameter.device.type,test_nn_Parameter_device_type.py,analyzed,,yes,final,final,yes,analyzed,no_tests_recorded,UNKNOWN,No explicit failure detail was captured.,0,0,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.nn.Parameter.is_contiguous,torch.nn.Parameter.is_contiguous,test_nn_Parameter_is_contiguous.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,1,1,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.nn.Parameter.ndim,torch.nn.Parameter.ndim,test_nn_Parameter_ndim.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,1,1,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.nn.Parameter.size,torch.nn.Parameter.size,test_nn_Parameter_size.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,3,3,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.nn.Parameter.stride,torch.nn.Parameter.stride,test_nn_Parameter_stride.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,1,1,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.nn.Parameter.dtype,torch.nn.Parameter.dtype,test_nn_Parameter_dtype.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,3,3,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.nn.Parameter.itemsize,torch.nn.Parameter.itemsize,test_nn_Parameter_itemsize.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,3,3,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.autograd._unsafe_preserve_version_counter,torch.autograd._unsafe_preserve_version_counter,test_autograd__unsafe_preserve_version_counter.py,fixed,,yes,final,final,yes,fixed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,adjust_test,yes,yes,test/api_test,pytest_passed,"[""test/api_test/test_autograd__unsafe_preserve_version_counter.py""]",runs/20260323T041305Z/fixes/test_autograd__unsafe_preserve_version_counter.md,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.library,torch.library,test_library.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch._dynamo.compiled_autograd.compiled_autograd_enabled,torch._dynamo.compiled_autograd.compiled_autograd_enabled,test__dynamo_compiled_autograd_compiled_autograd_enabled.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch._dynamo.compiled_autograd.compiled_autograd_enabled_force_eager,torch._dynamo.compiled_autograd.compiled_autograd_enabled_force_eager,test__dynamo_compiled_autograd_compiled_autograd_enabled_force_eager.py,analyzed,,yes,final,final,yes,analyzed,no_tests_recorded,UNKNOWN,No explicit failure detail was captured.,0,0,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch._dynamo.compiled_autograd.in_compiled_autograd_region,torch._dynamo.compiled_autograd.in_compiled_autograd_region,test__dynamo_compiled_autograd_in_compiled_autograd_region.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,1,1,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch._running_with_deploy,torch._running_with_deploy,test__running_with_deploy.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed_with_skips,NONE,"`torch._running_with_deploy` 返回进程部署状态，不存在可验证的 NPU 设备语义。
test/api_test/test__running_with_deploy.py:31: `torch._running_with_deploy` 返回进程部署状态，不存在可验证的 NPU 设备语义。",2,1,1,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.utils._python_dispatch.is_traceable_wrapper_subclass,torch.utils._python_dispatch.is_traceable_wrapper_subclass,test_utils__python_dispatch_is_traceable_wrapper_subclass.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,8,8,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch._dynamo.comptime.comptime.print,torch._dynamo.comptime.comptime.print,test__dynamo_comptime_comptime_print.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch._dynamo.config,torch._dynamo.config,test__dynamo_config.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,3,3,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch._dynamo.config.skip_fsdp_hooks,torch._dynamo.config.skip_fsdp_hooks,test__dynamo_config_skip_fsdp_hooks.py,analyzed,,yes,final,final,yes,analyzed,no_tests_recorded,UNKNOWN,No explicit failure detail was captured.,0,0,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch._C.DispatchKey.Functionalize,torch._C.DispatchKey.Functionalize,test__C_DispatchKey_Functionalize.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch._C.DispatchKeySet,torch._C.DispatchKeySet,test__C_DispatchKeySet.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch._C._ExcludeDispatchKeyGuard,torch._C._ExcludeDispatchKeyGuard,test__C__ExcludeDispatchKeyGuard.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed_with_skips,NONE,"当前环境缺少稳定的 NPU dispatch 可观测路径，无法可靠验证 _ExcludeDispatchKeyGuard 的正常语义。
test/api_test/test__C__ExcludeDispatchKeyGuard.py:31: 当前环境缺少稳定的 NPU dispatch 可观测路径，无法可靠验证 _ExcludeDispatchKeyGuard 的正常语义。",2,1,1,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch._from_functional_tensor,torch._from_functional_tensor,test__from_functional_tensor.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,3,3,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch._prims_common.make_contiguous_strides_for,torch._prims_common.make_contiguous_strides_for,test__prims_common_make_contiguous_strides_for.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed_with_skips,NONE,"`make_contiguous_strides_for` 只处理 shape，不存在可验证的 NPU 设备语义。
test/api_test/test__prims_common_make_contiguous_strides_for.py:31: `make_contiguous_strides_for` 只处理 shape，不存在可验证的 NPU 设备语义。",3,2,1,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.fx.node.has_side_effect,torch.fx.node.has_side_effect,test_fx_node_has_side_effect.py,skipped,,yes,final,final,yes,skipped,skipped,UNSUPPORTED_ON_NPU,"`torch.fx.node.has_side_effect` 缺少可验证的 NPU 设备语义，避免通过无关 NPU Tensor 伪造覆盖。
test/api_test/test_fx_node_has_side_effect.py:31: `torch.fx.node.has_side_effect` 缺少可验证的 NPU 设备语义，避免通过无关 NPU Tensor 伪造覆盖。",1,0,1,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.nn.Module.__setattr__,torch.nn.Module.__setattr__,test_nn_Module___setattr__.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.nn.Module._parameters,torch.nn.Module._parameters,test_nn_Module__parameters.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch._logging.warning_once,torch._logging.warning_once,test__logging_warning_once.py,pytest_passed,,yes,final,final,yes,pytest_passed,passed_with_skips,NONE,"`torch._logging.warning_once` 缺少可验证的 NPU 设备语义，避免通过无关 NPU Tensor 伪造覆盖。
test/api_test/test__logging_warning_once.py:31: `torch._logging.warning_once` 缺少可验证的 NPU 设备语义，避免通过无关 NPU Tensor 伪造覆盖。",3,2,1,0,0,0,manual_followup,no,no,,not_run,,,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
torch.autograd.graph._MultiHandle,torch.autograd.graph._MultiHandle,test_autograd_graph__MultiHandle.py,fixed,,yes,final,final,yes,fixed,passed,NONE,No explicit failure detail was captured.,2,2,0,0,0,0,adjust_test,yes,yes,test/api_test,pytest_passed,"[""test/api_test/test_autograd_graph__MultiHandle.py""]",runs/20260323T041305Z/fixes/test_autograd_graph__MultiHandle.md,runs/20260323T041305Z/summary.md,2026-03-23 05:37:40 UTC
